key,source,en,zh
add_animation_track,,"Add a track to an animation. Track types: value, position_2d, rotation_2d, scale_2d, method, bezier, blend_shape.",向动画添加轨道。轨道类型：value、position_2d、rotation_2d、scale_2d、method、bezier、blend_shape。
add_audio_bus,,"Add a new audio bus to the AudioServer with volume, send, solo, and mute settings.",向 AudioServer 添加新音频总线，支持音量、send、solo 和 mute 设置。
add_audio_bus_effect,,"Add an audio effect to a bus. Types: reverb, chorus, delay, compressor, limiter, phaser, distortion, lowpassfilter, highpassfilter, bandpassfilter, amplify, eq.",向总线添加音频效果。类型：reverb、chorus、delay、compressor、limiter、phaser、distortion、lowpassfilter、highpassfilter、bandpassfilter、amplify、eq。
add_audio_player,,"Add an AudioStreamPlayer, AudioStreamPlayer2D, or AudioStreamPlayer3D with stream, volume, bus, and spatial settings.",添加 AudioStreamPlayer、AudioStreamPlayer2D 或 AudioStreamPlayer3D，支持流、音量、总线和空间设置。
add_debugger_capture_prefix,,Allow the debugger bridge to capture custom EngineDebugger messages with the given prefix.,允许调试器桥捕获具有给定前缀的自定义 EngineDebugger 消息。
add_gridmap,,"Create a GridMap node, optionally assign a MeshLibrary resource and set cell size.",创建 GridMap 节点，可指定 MeshLibrary 资源并设置单元格大小。
add_mesh_instance,,"Create a MeshInstance3D with a primitive mesh (box, sphere, cylinder, capsule, plane, quad, prism, torus) or load a mesh from a .glb/.gltf/.obj file.",创建 MeshInstance3D，支持基本体网格（box/sphere/cylinder/capsule/plane/quad/prism/torus）或从 .glb/.gltf/.obj 文件加载网格。
add_raycast,,"Add a RayCast2D or RayCast3D to a node with configurable target position, collision mask, and hit settings.",向节点添加 RayCast2D 或 RayCast3D，支持目标位置、碰撞掩码和命中设置。
add_resource,,Add a resource child node to a target node.,向目标节点添加资源子节点。
add_state_machine_state,,"Add a state to an AnimationNodeStateMachine. State types: animation, blend_tree, or state_machine.",向 AnimationNodeStateMachine 添加状态。状态类型：animation、blend_tree 或 state_machine。
add_state_machine_transition,,Add a transition between two states in an AnimationNodeStateMachine.,在 AnimationNodeStateMachine 中两个状态之间添加过渡。
analyze_script,,Analyze a GDScript file and report code quality issues.,分析 GDScript 文件并报告代码质量问题。
apply_particle_preset,,"Apply a predefined particle preset: explosion, fire, smoke, sparks, rain, snow, magic, or dust.",应用预定义粒子预设：explosion、fire、smoke、sparks、rain、snow、magic 或 dust。
assert_runtime_condition,,Assert a condition in the running game.,在运行中游戏中断言一个条件。
assign_shader_material,,Create a ShaderMaterial from a shader file and assign it to a CanvasItem or MeshInstance3D node.,从着色器文件创建 ShaderMaterial 并分配给 CanvasItem 或 MeshInstance3D 节点。
attach_script,,Attach a script to a node.,将脚本附加到节点。
audit_project_health,,Audit project health and integrity.,审计项目健康和完整性。
audit_scene_inheritance,,Audit inherited or instanced scene structure for the current scene. Classifies local nodes, instance roots, inherited instance content, and local additions inside instanced subtrees.,审计当前场景的继承或实例化场景结构。分类本地节点、实例根节点、继承的实例内容以及实例化子树中的本地添加。
